timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
19518,0.0000,0.0006,0.9831,0.0105,-0.0119,-0.0278,idle
19569,0.0000,0.0012,0.9870,-0.0412,-0.0009,-0.0941,idle
19620,0.0000,0.0005,0.9912,-0.0520,0.0277,-0.1181,idle
19671,0.0000,0.0002,0.9953,0.0234,-0.0165,-0.0930,idle
19722,0.0000,0.0006,0.9970,-0.0156,-0.0107,-0.1050,idle
19773,0.0000,-0.0001,0.9970,0.0570,0.0107,-0.0536,idle
19824,0.0000,-0.0002,0.9989,0.0938,-0.0164,0.0884,idle
19875,0.0000,0.0001,1.0000,0.0148,0.0123,0.1149,idle
19926,0.0000,0.0009,1.0011,0.0142,0.0551,0.0873,idle
19977,0.0000,0.0010,0.9965,0.0030,0.0985,0.0377,idle
20028,0.0000,0.0006,0.9951,-0.0762,0.0752,0.0072,idle
20079,0.0000,0.0002,0.9900,-0.0952,0.0551,-0.0524,idle
20130,0.0000,0.0011,0.9889,-0.0693,0.0649,-0.0389,idle
20181,0.0000,0.0006,0.9897,-0.0500,0.0285,-0.0144,idle
20232,0.0000,0.0013,0.9920,0.0417,0.0283,0.0601,idle
20283,0.0000,0.0012,0.9956,0.0831,-0.0282,0.1427,idle
20334,0.0000,0.0003,0.9926,0.0627,-0.0124,0.1752,idle
20385,0.0000,-0.0003,0.9991,0.0464,0.0109,0.1431,idle
20436,0.0000,-0.0000,0.9972,-0.0079,0.0433,0.0610,idle
20487,0.0000,-0.0002,1.0006,-0.0223,0.1181,-0.0108,idle
20538,0.0000,0.0001,1.0030,-0.0521,0.1626,-0.1110,idle
20589,0.0000,-0.0000,1.0020,-0.0195,0.1754,-0.1317,idle
20640,0.0000,0.0008,1.0014,-0.0087,0.1046,-0.1207,idle
20691,0.0000,0.0016,1.0035,0.0626,0.0542,-0.1119,idle
20742,0.0000,0.0016,1.0025,0.1181,0.0153,-0.0377,idle
20793,0.0000,0.0016,0.9988,0.1167,-0.0417,0.0538,idle
20844,0.0000,0.0020,1.0005,0.1399,-0.0385,0.0567,idle
20895,0.0000,0.0009,1.0009,0.1525,-0.0405,0.0834,idle
20946,0.0000,0.0001,0.9976,0.1197,-0.0848,0.0651,idle
20997,0.0000,0.0007,0.9984,0.0844,-0.0089,0.0352,idle
21048,0.0000,0.0011,0.9966,0.0287,0.0382,-0.0436,idle
21099,0.0000,0.0009,0.9883,0.0421,0.0773,-0.1113,idle
21150,0.0000,0.0010,0.9873,-0.0205,-0.0043,-0.0891,idle
21201,0.0000,0.0006,0.9899,0.0043,-0.0712,-0.0485,idle
21252,0.0000,0.0017,0.9900,0.0226,-0.1292,0.0512,idle
21303,0.0000,0.0023,0.9852,0.0677,-0.0887,0.0897,idle
21354,0.0000,0.0016,0.9900,0.0550,-0.0302,0.0855,idle
21405,0.0000,0.0020,0.9868,0.0525,0.0608,0.0500,idle
21456,0.0000,0.0023,0.9876,0.0184,0.0603,0.0338,idle
21507,0.0000,0.0010,0.9898,0.0323,0.0874,-0.0341,idle
21558,0.0000,0.0003,0.9863,-0.0604,0.1045,-0.1190,idle
21609,0.0000,0.0003,0.9895,-0.1192,0.1166,-0.1243,idle
21660,0.0000,-0.0004,0.9933,-0.0503,0.1233,-0.0949,idle
21711,0.0000,-0.0002,0.9949,0.0446,0.1119,-0.0775,idle
21762,0.0000,-0.0000,0.9966,0.1006,0.0630,0.0463,idle
21813,0.0000,0.0007,0.9937,0.1378,0.0178,0.1194,idle
21864,0.0000,0.0018,0.9958,0.1446,-0.0229,0.1382,idle
21915,0.0000,0.0012,0.9947,0.1257,-0.0174,0.0891,idle
21966,0.0000,0.0024,0.9970,0.1105,0.0207,0.0040,idle
22017,0.0000,0.0034,1.0024,0.0282,0.0832,-0.0335,idle
22068,0.0000,0.0028,0.9976,0.0279,0.1027,-0.0711,idle
22119,0.0000,0.0023,0.9976,0.0293,0.0953,-0.0952,idle
22170,0.0000,0.0021,1.0012,0.0273,0.0299,-0.0396,idle
22221,0.0000,0.0016,1.0055,0.0944,0.0203,-0.0195,idle
22272,0.0000,0.0010,1.0028,0.1008,0.0295,0.0606,idle
22323,0.0000,0.0002,0.9978,0.1868,0.0398,0.0958,idle
22374,0.0000,0.0001,0.9943,0.1732,0.0374,0.1254,idle
22425,0.0000,-0.0001,0.9900,0.1119,0.0004,0.1048,idle
22476,0.0000,0.0003,0.9901,0.0521,-0.0231,0.0532,idle
22527,0.0000,0.0003,0.9919,-0.0017,-0.0114,0.0150,idle
