timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
390672,-0.1647,0.1970,1.0392,0.0417,-0.5108,-0.4312,left_tilt
390724,-0.1552,0.1963,1.0449,0.0615,-0.4295,-0.4804,left_tilt
390776,-0.1566,0.1956,1.0501,-0.0356,-0.0699,-0.0754,left_tilt
390828,-0.1709,0.1929,1.0464,-0.0293,-0.1043,-0.1178,left_tilt
390880,-0.2079,0.1944,1.0474,0.3406,-0.6555,-0.6541,left_tilt
390932,-0.1851,0.1953,1.0463,-0.0490,-0.4720,-0.2418,left_tilt
390984,-0.1748,0.1969,1.0413,-0.3622,-0.1878,0.3551,left_tilt
391036,-0.1645,0.1971,1.0504,-0.8830,0.1220,0.6922,left_tilt
391088,-0.1423,0.1986,1.0468,-1.0431,0.2629,0.8123,left_tilt
391140,-0.1480,0.1977,1.0434,-0.6537,0.1039,0.7251,left_tilt
391192,-0.1198,0.1965,1.0455,-0.6765,0.1432,0.2646,left_tilt
391244,-0.1233,0.1961,1.0391,-0.8336,0.2020,0.5526,left_tilt
391296,-0.1346,0.1908,1.0408,-0.6219,-0.1219,0.1510,left_tilt
391348,-0.1415,0.1893,1.0490,-1.0373,0.1915,0.5701,left_tilt
391400,-0.1421,0.1902,1.0516,-1.2292,0.5262,1.0307,left_tilt
391452,-0.1314,0.1904,1.0510,-1.3491,0.3375,0.4510,left_tilt
391504,-0.1313,0.1893,1.0520,-1.5091,0.3575,1.4483,left_tilt
391556,-0.1455,0.1878,1.0549,-1.2082,0.0177,1.2446,left_tilt
391608,-0.1393,0.1882,1.0493,-1.2529,-0.2708,0.9886,left_tilt
391660,-0.1254,0.1855,1.0500,-1.3329,-0.6330,-0.1308,left_tilt
391712,-0.1176,0.1840,1.0477,-1.3832,-0.4922,-0.2079,left_tilt
391764,-0.1268,0.1835,1.0512,-1.5593,-0.2544,0.1563,left_tilt
391816,-0.1259,0.1834,1.0553,-1.7842,-0.4885,-0.7172,left_tilt
391868,-0.1059,0.1836,1.0530,-2.3641,-0.5476,-1.6450,left_tilt
391920,-0.1144,0.1877,1.0472,-2.5440,-0.2468,-2.2804,left_tilt
391972,-0.1160,0.1848,1.0484,-3.7765,-0.7344,-4.9506,left_tilt
392024,-0.1032,0.1900,1.0472,-5.2114,-1.8267,-4.9859,left_tilt
392076,-0.0948,0.1846,1.0463,-6.7318,-1.0090,-5.4096,left_tilt
392128,-0.0910,0.2010,1.0346,-11.4168,-0.2953,-6.1653,left_tilt
392180,-0.1026,0.1895,1.0380,-15.1175,-0.1625,-5.5150,left_tilt
392232,-0.1133,0.1970,1.0344,-20.1391,-1.7448,-1.0268,left_tilt
392284,-0.1172,0.1771,1.0355,-21.8786,-2.1038,2.0310,left_tilt
392336,-0.1074,0.1451,1.0291,-23.6655,-1.0581,4.7062,left_tilt
392388,-0.1005,0.1232,1.0251,-22.9592,-1.5743,6.0204,left_tilt
392440,-0.0901,0.1138,1.0221,-21.0202,-2.1215,2.9894,left_tilt
392492,-0.0783,0.1144,1.0212,-19.0719,-2.3914,-0.0263,left_tilt
392544,-0.0767,0.1147,1.0214,-16.7897,-1.6684,-2.4557,left_tilt
392596,-0.0895,0.1196,1.0224,-14.7028,-2.4320,-3.3457,left_tilt
392648,-0.1115,0.1126,1.0196,-14.5387,-2.9772,-3.8654,left_tilt
392700,-0.0859,0.1117,1.0201,-14.7173,-2.1477,-3.4888,left_tilt
392752,-0.0840,0.1186,1.0220,-14.3503,-2.4001,-4.1508,left_tilt
392804,-0.0837,0.1123,1.0208,-13.8872,-2.1471,-5.3431,left_tilt
392856,-0.0842,0.1047,1.0168,-14.7213,-1.5997,-4.5549,left_tilt
392908,-0.0782,0.0999,1.0132,-16.5428,-1.4075,-3.6984,left_tilt
392960,-0.0756,0.0679,1.0100,-16.6564,-3.1576,-3.9780,left_tilt
393012,-0.0649,0.0655,1.0073,-16.2939,-4.3577,-5.4354,left_tilt
393064,-0.0623,0.0599,1.0031,-13.8497,-6.3422,-5.0012,left_tilt
393116,-0.0426,0.0537,1.0052,-17.8868,-1.1206,0.7384,left_tilt
393168,-0.0570,0.0450,0.9980,-15.9179,-2.5632,3.9958,left_tilt
